x,y,u_x,u_y,p
1.000000000000000021e-02,9.599999999999999645e-01,-3.577023744583129883e-05,4.154514670372009277e-01,1.316812038421630859e+00
1.000000000000000021e-02,9.699999999999999734e-01,-1.213736832141876221e-04,4.253332316875457764e-01,1.238591551780700684e+00
1.000000000000000021e-02,9.799999999999999822e-01,-2.066083252429962158e-04,4.352479577064514160e-01,1.159280776977539062e+00
1.000000000000000021e-02,9.899999999999999911e-01,-2.895668148994445801e-04,4.451945424079895020e-01,1.078943729400634766e+00
1.000000000000000021e-02,1.000000000000000000e+00,-3.687813878059387207e-04,4.551734328269958496e-01,9.976408481597900391e-01
2.000000000000000042e-02,0.000000000000000000e+00,8.759088814258575439e-04,-4.606004953384399414e-01,9.992008805274963379e-01
2.000000000000000042e-02,1.000000000000000021e-02,7.133446633815765381e-04,-4.505583047866821289e-01,1.078483462333679199e+00
2.000000000000000042e-02,2.000000000000000042e-02,5.809217691421508789e-04,-4.405526816844940186e-01,1.157227516174316406e+00
2.000000000000000042e-02,2.999999999999999889e-02,4.762113094329833984e-04,-4.305831491947174072e-01,1.235351562500000000e+00
2.000000000000000042e-02,4.000000000000000083e-02,3.971718251705169678e-04,-4.206506907939910889e-01,1.312769412994384766e+00
2.000000000000000042e-02,5.000000000000000278e-02,3.421679139137268066e-04,-4.107549786567687988e-01,1.389394640922546387e+00
2.000000000000000042e-02,5.999999999999999778e-02,3.084987401962280273e-04,-4.008971154689788818e-01,1.465130925178527832e+00
2.000000000000000042e-02,7.000000000000000666e-02,2.945996820926666260e-04,-3.910774886608123779e-01,1.539886236190795898e+00
2.000000000000000042e-02,8.000000000000000167e-02,2.990029752254486084e-04,-3.812966644763946533e-01,1.613570570945739746e+00
2.000000000000000042e-02,8.999999999999999667e-02,3.196448087692260742e-04,-3.715554773807525635e-01,1.686081528663635254e+00
2.000000000000000042e-02,1.000000000000000056e-01,3.546401858329772949e-04,-3.618541657924652100e-01,1.757330298423767090e+00
2.000000000000000042e-02,1.100000000000000006e-01,4.028454422950744629e-04,-3.521937429904937744e-01,1.827222347259521484e+00
2.000000000000000042e-02,1.199999999999999956e-01,4.624389111995697021e-04,-3.425742685794830322e-01,1.895668148994445801e+00
2.000000000000000042e-02,1.300000000000000044e-01,5.317404866218566895e-04,-3.329959809780120850e-01,1.962583422660827637e+00
2.000000000000000042e-02,1.400000000000000133e-01,6.095059216022491455e-04,-3.234595358371734619e-01,2.027881622314453125e+00
2.000000000000000042e-02,1.499999999999999944e-01,6.940215826034545898e-04,-3.139647543430328369e-01,2.091489076614379883e+00
2.000000000000000042e-02,1.600000000000000033e-01,7.841065526008605957e-04,-3.045113682746887207e-01,2.153332233428955078e+00
2.000000000000000042e-02,1.700000000000000122e-01,8.783042430877685547e-04,-2.950989007949829102e-01,2.213346719741821289e+00
2.000000000000000042e-02,1.799999999999999933e-01,9.754747152328491211e-04,-2.857277691364288330e-01,2.271469593048095703e+00
2.000000000000000042e-02,1.900000000000000022e-01,1.074463129043579102e-03,-2.763970196247100830e-01,2.327649593353271484e+00
2.000000000000000042e-02,2.000000000000000111e-01,1.174144446849822998e-03,-2.671058773994445801e-01,2.381839990615844727e+00
2.000000000000000042e-02,2.099999999999999922e-01,1.273479312658309937e-03,-2.578542530536651611e-01,2.434001684188842773e+00
2.000000000000000042e-02,2.200000000000000011e-01,1.371726393699645996e-03,-2.486416101455688477e-01,2.484103679656982422e+00
2.000000000000000042e-02,2.300000000000000100e-01,1.468013972043991089e-03,-2.394670248031616211e-01,2.532121658325195312e+00
2.000000000000000042e-02,2.399999999999999911e-01,1.561552286148071289e-03,-2.303299009799957275e-01,2.578039884567260742e+00
2.000000000000000042e-02,2.500000000000000000e-01,1.652158796787261963e-03,-2.212295532226562500e-01,2.621847629547119141e+00
2.000000000000000042e-02,2.600000000000000089e-01,1.739058643579483032e-03,-2.121654748916625977e-01,2.663543462753295898e+00
